stdntid,gender,race,birthmonth,birthday,birthyear,gkclasstype,gkclasssize,gkschid,gksurban,gktchid,gkfreelunch,gktreadss,gktmathss,gktlistss,g1classtype,g1classsize,g1schid,g1surban,g1tchid,g1freelunch,g1treadss,g1tmathss,g1tlistss,g2classtype,g2classsize,g2schid,g2surban,g2tchid,g2freelunch,g2treadss,g2tmathss,g2tlistss,g3classtype,g3classsize,g3schid,g3surban,g3tchid,g3freelunch,g3treadss,g3tmathss,g3tlangss,g3tlistss,,
12132,1,1,8,23,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,189396,3,18939607,1,448,425,506,3,23,189396,3,18939610,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12133,1,1,10,15,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,169229,2,16922925,2,602,607,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12134,2,1,10,17,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,189378,3,18937816,2,NA,NA,NA,NA,,
12135,2,1,10,18,1979,1,15,189378,3,18937804,1,448,494,595,1,15,189378,3,18937805,2,488,549,601,1,16,189378,3,18937809,2,614,590,606,1,14,189378,3,18937814,2,657,636,653,640,,
12136,2,1,10,3,1979,3,19,191411,3,19141102,1,418,434,501,2,22,191411,3,19141106,1,NA,470,506,3,23,191411,3,19141108,1,505,507,567,3,23,191411,3,19141111,1,NA,NA,NA,NA,,
12137,1,1,10,18,1979,1,17,203452,3,20345201,2,448,513,586,1,17,203452,3,20345207,2,604,601,634,1,16,203452,3,20345215,2,684,721,677,1,16,203452,3,20345220,2,675,672,711,677,,
12138,1,1,10,8,1979,3,21,212522,4,21252201,2,428,463,524,1,17,212522,4,21252208,2,604,572,601,1,15,212522,4,21252213,NA,618,632,587,1,15,212522,4,21252217,1,612,636,657,619,,
12139,1,2,7,13,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,228606,3,22860616,1,587,603,622,593,,
12140,2,1,10,13,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,205488,2,20548804,1,499,481,529,1,12,205488,2,20548811,2,542,545,554,1,16,205488,2,20548815,1,592,597,591,586,,
12141,2,1,10,14,1979,2,23,205489,2,20548902,2,448,459,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12142,1,1,10,17,1979,2,23,205489,2,20548902,2,443,520,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12143,1,1,10,18,1979,1,15,205491,2,20549102,2,NA,NA,NA,1,17,205491,2,20549105,2,441,472,584,1,15,205491,2,20549111,2,500,538,602,1,12,205491,2,20549115,2,538,614,556,672,,
12144,2,1,10,26,1979,2,17,218562,4,21856204,2,463,547,565,3,24,218562,4,21856208,2,553,592,634,3,25,218562,4,21856212,2,622,615,617,3,24,218562,4,21856216,2,665,645,647,619,,
12145,2,1,10,30,1979,1,13,212522,4,21252204,1,424,478,516,1,16,212522,4,21252207,1,462,481,524,1,13,212522,4,21252215,NA,NA,NA,NA,1,14,212522,4,21252220,1,NA,NA,NA,NA,,
12146,1,1,10,2,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,130085,2,13008507,1,439,439,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,130085,2,13008513,1,NA,NA,NA,NA,,
12147,1,1,10,8,1979,3,23,128068,3,12806803,2,410,463,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12148,1,1,10,8,1979,1,17,205488,2,20548803,2,NA,NA,NA,1,14,205488,2,20548804,2,450,463,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12149,2,1,10,14,1979,2,22,205491,2,20549103,2,474,536,586,3,22,205491,2,20549107,2,651,567,611,3,24,205491,2,20549110,2,611,607,610,3,21,205491,2,20549114,2,657,663,664,672,,
12150,2,1,10,18,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,212522,4,21252210,1,448,458,521,3,23,212522,4,21252211,NA,505,510,537,3,24,212522,4,21252216,1,549,561,585,559,,
12151,1,1,10,25,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,161176,3,16117608,1,471,538,584,3,21,161176,3,16117609,NA,545,590,610,3,24,161176,3,16117613,2,614,603,620,634,,
12152,1,1,10,25,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,205488,2,20548814,2,661,667,672,668,,
12153,1,1,10,9,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,208501,3,20850107,2,447,439,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12154,1,1,10,16,1979,2,22,208501,3,20850101,1,434,478,516,3,24,208501,3,20850106,2,NA,463,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12155,1,1,10,17,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,259915,3,25991514,1,606,629,625,597,,
12156,1,1,10,10,1979,1,16,180344,4,18034404,2,447,528,545,1,16,180344,4,18034411,2,590,592,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12157,1,1,10,22,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,193423,3,19342309,2,521,549,606,2,21,193423,3,19342313,2,579,587,626,2,24,193423,3,19342316,2,631,655,638,652,,
12158,2,1,10,29,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,193423,3,19342309,2,564,562,625,2,21,193423,3,19342313,2,604,611,631,2,24,193423,3,19342316,2,657,667,653,668,,
12159,1,1,9,18,1979,3,24,215533,3,21553301,2,421,449,524,3,22,215533,3,21553308,2,501,549,577,3,23,215533,3,21553313,2,579,577,578,3,22,215533,3,21553320,2,606,636,611,603,,
12160,1,1,10,16,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,221571,3,22157107,2,629,567,596,1,17,221571,3,22157112,2,599,615,665,1,17,221571,3,22157117,2,665,700,672,643,,
12161,1,1,10,18,1979,3,20,221574,3,22157402,2,425,478,549,3,21,221574,3,22157408,2,509,518,NA,3,23,221574,3,22157412,2,552,557,617,3,22,221574,3,22157416,2,629,645,627,608,,
12162,1,1,10,19,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,221571,3,22157108,2,453,549,568,3,25,221571,3,22157113,2,496,593,606,3,24,221571,3,22157120,2,NA,NA,NA,NA,,
12163,1,1,10,30,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,208501,3,20850109,NA,NA,NA,NA,3,24,208501,3,20850113,1,NA,NA,NA,NA,,
12164,1,1,10,19,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,212522,4,21252210,1,480,488,536,3,23,212522,4,21252211,NA,573,531,572,3,24,212522,4,21252216,1,NA,NA,NA,NA,,
12165,2,1,10,9,1979,2,23,225585,3,22558501,2,410,468,545,3,26,225585,3,22558505,2,NA,502,556,3,26,225585,3,22558509,1,515,535,578,3,25,225585,3,22558513,2,569,596,602,627,,
12166,1,1,10,5,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,170295,3,17029507,1,NA,523,559,3,23,170295,3,17029510,1,538,486,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12167,1,1,10,6,1979,2,24,228606,3,22860602,1,437,463,565,3,21,228606,3,22860606,1,629,592,580,3,22,228606,3,22860611,2,604,648,649,3,25,228606,3,22860615,1,650,596,630,629,,
12168,1,1,10,8,1979,1,16,228606,3,22860603,2,402,449,512,3,21,228606,3,22860606,2,NA,502,551,3,21,228606,3,22860612,2,550,565,564,3,25,228606,3,22860615,2,600,616,611,629,,
12169,2,1,10,11,1979,3,25,228606,3,22860601,2,430,559,565,3,21,228606,3,22860606,2,544,567,592,3,22,228606,3,22860611,2,614,607,610,3,25,228606,3,22860615,2,631,636,653,629,,
12170,1,1,10,17,1979,1,16,228606,3,22860604,2,468,602,586,2,22,228606,3,22860605,2,651,584,565,2,22,228606,3,22860610,2,643,699,610,2,22,228606,3,22860614,2,675,684,702,649,,
12171,2,1,10,23,1979,2,24,228606,3,22860602,2,443,459,528,2,22,228606,3,22860605,2,509,562,556,2,22,228606,3,22860610,2,591,626,584,2,22,228606,3,22860614,2,665,639,650,606,,
12172,2,1,10,14,1979,1,12,162184,3,16218403,1,405,484,540,1,13,162184,3,16218406,1,442,481,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12173,2,2,9,2,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,230612,3,23061207,1,566,533,567,2,27,230612,3,23061210,NA,587,531,591,599,,
12174,1,1,9,8,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22,209510,3,20951014,2,709,674,717,3,22,209510,3,20951019,2,728,726,711,705,,
12175,2,1,10,4,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,261927,3,26192707,2,466,507,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12176,2,1,10,13,1979,1,12,162184,3,16218403,2,408,473,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12177,1,1,9,23,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,176329,3,17632905,2,524,529,584,1,13,176329,3,17632911,2,554,574,622,1,15,176329,3,17632915,2,575,586,602,634,,
12178,1,2,10,5,1979,3,23,234628,3,23462803,2,467,506,571,3,21,234628,3,23462809,2,651,676,660,3,24,234628,3,23462813,2,732,674,656,3,25,234628,3,23462818,2,NA,NA,NA,NA,,
12179,1,1,10,2,1979,1,13,165199,4,16519901,2,514,559,607,1,14,165199,4,16519904,2,604,653,601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12180,2,1,10,5,1979,3,22,165199,4,16519903,2,480,576,571,2,22,165199,4,16519905,2,604,653,634,1,15,165199,4,16519908,2,614,659,665,1,15,165199,4,16519912,2,665,655,694,656,,
12181,2,1,10,11,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,165199,4,16519905,2,571,612,588,1,15,165199,4,16519908,2,637,620,717,1,15,165199,4,16519912,2,675,691,677,646,,
12182,1,1,10,22,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,164198,3,16419810,1,582,606,602,615,,
12183,1,1,10,3,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,244745,2,24474511,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12184,2,1,10,6,1979,1,16,193423,3,19342302,1,440,459,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12185,1,1,10,18,1979,2,19,165199,4,16519902,2,483,559,565,3,22,165199,4,16519906,2,629,601,625,3,21,165199,4,16519909,2,650,607,642,3,23,165199,4,16519911,2,680,667,664,663,,
12186,1,2,10,22,1979,3,22,244818,1,24481803,1,403,468,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12187,1,2,10,22,1979,1,16,244818,1,24481802,1,427,454,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12188,2,1,10,7,1979,3,23,216536,3,21653602,2,545,520,578,2,21,216537,3,21653704,2,629,592,601,2,25,216537,3,21653707,2,650,626,692,2,25,216537,3,21653723,2,661,651,682,663,,
12189,1,1,9,25,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,244745,2,24474516,2,624,620,641,637,,
12190,2,1,9,15,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,216537,3,21653703,NA,530,557,584,2,25,216537,3,21653710,1,602,603,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12191,1,1,9,29,1979,3,20,252885,3,25288504,1,403,444,501,3,28,252885,3,25288507,1,480,500,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12192,1,1,12,8,1979,1,17,169229,2,16922901,2,527,547,532,1,16,169229,2,16922909,2,651,592,611,1,15,169229,2,16922927,2,659,632,626,1,17,169229,2,16922935,2,665,659,702,652,,
12193,2,1,10,13,1979,2,20,252885,3,25288503,1,447,478,532,3,28,252885,3,25288507,1,480,490,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12194,2,1,10,27,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,216537,3,21653704,1,536,529,541,2,25,216537,3,21653710,1,559,556,562,2,25,216537,3,21653713,1,599,608,613,582,,
12195,1,1,10,30,1979,3,20,252885,3,25288504,2,436,536,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,252885,3,25288515,2,NA,NA,NA,NA,,
12196,1,1,11,1,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,253888,3,25388809,1,538,603,559,1,13,253888,3,25388812,2,567,612,604,580,,
12197,2,1,10,3,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,257905,4,25790521,2,643,590,596,3,25,257905,4,25790528,2,647,631,644,629,,
12198,1,1,10,3,1979,1,13,253888,3,25388803,1,433,513,545,1,13,253888,3,25388806,2,629,549,634,1,14,253888,3,25388809,1,611,599,642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12199,1,1,10,4,1979,2,25,257899,3,25789901,2,425,444,571,2,22,257899,3,25789907,2,514,505,606,2,22,257899,3,25789915,2,627,552,617,2,22,257899,3,25789918,2,670,620,641,683,,
12200,2,1,10,10,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,257905,4,25790509,1,524,549,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,253888,3,25388811,1,580,583,611,615,,
12201,2,1,10,17,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,253888,3,25388809,2,582,557,606,1,13,253888,3,25388812,2,600,606,620,634,,
12202,1,1,11,28,1979,2,24,259915,3,25991503,2,424,506,586,2,24,259915,3,25991506,2,497,523,577,2,21,259915,3,25991509,2,564,587,587,2,25,259915,3,25991513,2,602,626,602,652,,
12203,2,1,11,14,1979,3,26,259915,3,25991502,2,407,463,560,1,14,259915,3,25991505,2,571,567,596,1,12,259915,3,25991510,2,611,632,626,1,16,259915,3,25991515,2,675,626,668,656,,
12204,1,1,10,8,1979,2,23,244839,2,24483903,2,490,576,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12205,1,1,10,18,1979,3,22,261927,3,26192701,2,456,547,560,2,21,261927,3,26192708,2,604,567,596,1,17,261927,3,26192711,2,614,639,617,1,18,261927,3,26192716,2,641,648,664,627,,
12206,1,1,10,20,1979,1,13,221574,3,22157401,1,455,536,528,1,13,221574,3,22157406,1,505,542,577,1,13,221574,3,22157409,1,577,550,593,1,13,221574,3,22157413,1,610,648,632,619,,
12207,1,2,11,7,1979,3,24,205490,1,20549002,1,390,339,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12208,1,2,11,19,1979,2,22,234628,3,23462805,2,448,459,528,2,21,234628,3,23462808,2,558,553,559,2,24,234628,3,23462816,2,631,579,599,2,25,234628,3,23462821,2,618,620,660,634,,
12209,1,1,10,31,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,168211,3,16821116,2,NA,651,644,663,,
12210,2,2,11,12,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,112038,4,11203811,1,572,601,618,582,,
12211,1,2,11,24,1979,1,16,112038,4,11203801,1,398,412,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12212,1,1,11,1,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,130085,2,13008505,1,571,549,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12213,1,1,11,5,1979,3,23,128068,3,12806803,1,430,494,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12214,2,1,11,7,1979,3,22,130085,2,13008503,2,425,484,586,2,23,130085,2,13008505,2,558,572,611,2,19,130085,2,13008510,2,608,639,692,2,18,130085,2,13008514,2,665,648,653,705,,
12215,1,2,11,8,1979,3,24,128076,2,12807603,2,424,513,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22,128076,2,12807608,1,637,659,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12216,1,1,11,10,1979,3,24,128076,2,12807603,2,416,468,554,2,21,128076,2,12807607,2,482,535,543,2,21,128076,2,12807611,2,627,611,636,2,20,128076,2,12807615,2,633,603,638,634,,
12217,1,1,11,11,1979,3,24,128076,2,12807603,2,393,454,565,3,21,128076,2,12807605,2,471,481,606,3,22,128076,2,12807608,2,564,563,636,3,20,128076,2,12807613,2,578,570,598,649,,
12218,2,1,11,12,1979,3,22,130085,2,13008503,2,402,459,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12219,1,1,11,17,1979,3,23,128068,3,12806803,1,425,459,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12220,2,1,11,23,1979,3,23,128068,3,12806803,1,405,454,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12221,2,1,11,26,1979,2,20,130085,2,13008501,2,421,484,532,3,24,130085,2,13008506,2,544,567,571,3,23,130085,2,13008509,2,579,572,610,3,23,130085,2,13008513,2,608,648,638,624,,
12222,2,1,11,26,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,130085,2,13008508,2,571,529,596,1,16,130085,2,13008512,2,627,615,631,1,15,130085,2,13008516,NA,657,629,650,668,,
12223,2,1,11,27,1979,3,24,128076,2,12807603,2,428,484,560,3,21,128076,2,12807605,2,524,526,618,3,22,128076,2,12807608,2,643,607,622,3,20,128076,2,12807613,2,641,622,641,629,,
12224,1,1,11,30,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,203452,3,20345211,2,NA,NA,NA,1,16,203452,3,20345217,1,572,601,589,619,,
12225,1,1,10,30,1979,1,13,130085,2,13008502,2,NA,444,NA,3,24,130085,2,13008506,2,NA,NA,NA,3,23,130085,2,13008509,2,502,512,599,3,23,130085,2,13008513,2,NA,NA,NA,NA,,
12226,1,1,10,28,1979,2,25,257899,3,25789901,2,437,463,528,2,22,257899,3,25789906,2,553,532,606,2,22,257899,3,25789915,2,618,607,606,2,22,257899,3,25789918,2,647,651,638,637,,
12227,1,1,11,4,1979,1,14,161183,3,16118306,2,461,536,571,1,14,161183,3,16118312,2,571,584,618,1,13,161183,3,16118315,2,627,603,649,1,15,161183,3,16118319,2,606,620,611,632,,
12228,1,1,11,10,1979,2,24,161176,3,16117603,2,416,513,578,2,26,161176,3,16117605,1,533,553,584,2,23,161176,3,16117610,NA,611,620,NA,2,23,161176,3,16117614,2,644,626,657,646,,
12229,1,1,11,13,1979,1,14,161183,3,16118306,2,447,489,516,1,14,161183,3,16118312,2,540,572,559,1,13,161183,3,16118315,2,596,603,596,1,15,161183,3,16118319,2,599,599,613,597,,
12230,2,1,10,29,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,161176,3,16117606,2,540,557,588,3,21,161176,3,16117611,NA,593,596,606,3,22,161176,3,16117615,1,636,614,647,601,,
12231,1,1,10,7,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,166203,4,16620305,1,457,472,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12232,2,1,10,23,1979,1,16,166203,4,16620304,2,413,434,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12233,1,1,9,2,1979,1,13,164198,3,16419802,1,461,528,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12234,2,1,11,1,1979,1,15,166203,4,16620301,1,418,484,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12235,1,1,11,4,1979,1,13,164198,3,16419802,1,428,520,560,1,13,164198,3,16419806,1,516,532,584,1,15,164198,3,16419807,2,584,557,613,1,11,164198,3,16419810,1,592,585,604,599,,
12236,2,1,11,5,1979,3,22,165199,4,16519903,1,414,473,554,3,22,165199,4,16519906,1,527,567,580,3,21,165199,4,16519909,1,591,593,590,3,23,165199,4,16519911,1,631,634,638,612,,
12237,2,1,11,7,1979,1,16,166203,4,16620304,2,437,484,NA,2,24,164198,3,16419804,1,536,510,568,2,24,164198,3,16419808,1,643,584,610,2,21,164198,3,16419812,1,639,610,641,640,,
12238,1,1,11,13,1979,2,25,166203,4,16620302,1,NA,NA,NA,3,23,166203,4,16620307,1,519,493,548,3,22,166203,4,16620308,1,608,570,613,3,24,166203,4,16620311,1,641,601,608,632,,
12239,2,1,11,14,1979,2,19,165199,4,16519902,2,503,559,571,1,14,165199,4,16519904,2,579,612,601,1,14,165199,4,16519907,2,622,659,626,1,14,165199,4,16519910,2,657,752,762,656,,
12240,1,1,10,27,1979,1,16,166203,4,16620304,2,416,473,516,1,13,166203,4,16620305,1,501,532,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12241,2,1,11,2,1979,2,24,168211,3,16821101,1,416,473,532,3,29,168211,3,16821108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12242,1,1,11,5,1979,1,14,168214,3,16821401,2,442,536,545,1,17,168214,3,16821404,2,527,549,611,1,15,168214,3,16821410,2,591,563,617,1,14,168214,3,16821414,2,633,603,657,646,,
12243,1,1,11,15,1979,3,23,168211,3,16821102,2,418,459,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12244,1,1,11,2,1979,1,15,264945,2,26494504,2,451,576,540,1,17,264945,2,26494509,2,548,592,601,1,16,264945,2,26494512,2,599,615,631,1,17,264945,2,26494518,2,650,678,641,663,,
12245,2,1,11,3,1979,3,24,169229,2,16922904,2,443,520,565,3,21,169229,2,16922913,2,469,535,596,3,24,169229,2,16922923,2,579,611,631,3,25,169229,2,16922937,2,NA,NA,NA,NA,,
12246,1,1,11,4,1979,1,15,169280,2,16928001,1,388,375,397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12247,1,1,11,4,1979,3,22,169280,2,16928003,2,458,520,571,2,25,169280,2,16928006,2,505,567,584,2,24,169280,2,16928008,2,564,599,610,2,25,169280,2,16928012,2,593,606,635,622,,
12248,1,1,11,5,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,264945,2,26494513,2,559,536,602,2,28,264945,2,26494520,2,NA,NA,585,617,,
12249,1,1,11,6,1979,3,22,169280,2,16928003,2,468,559,586,3,25,169280,2,16928007,2,579,612,611,3,26,169280,2,16928009,2,631,674,740,3,25,169280,2,16928013,2,670,700,682,731,,
12250,1,1,11,6,1979,1,16,169229,2,16922905,2,527,547,648,1,16,169229,2,16922908,2,629,676,685,1,14,169229,2,16922921,2,669,699,631,1,17,169229,2,16922936,2,661,700,668,643,,
12251,2,2,11,7,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,221571,3,22157116,2,659,639,692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12252,1,1,11,7,1979,3,24,264945,2,26494502,2,456,547,595,3,27,264945,2,26494507,2,514,557,634,3,25,264945,2,26494511,2,608,577,649,3,28,264945,2,26494517,2,665,631,641,663,,
12253,2,1,11,9,1979,2,21,169280,2,16928002,2,419,439,549,3,25,169280,2,16928007,2,451,493,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12254,2,2,11,9,1979,3,22,264945,2,26494501,1,431,500,545,3,26,264945,2,26494508,1,463,510,551,3,25,264945,2,26494511,2,554,570,564,3,28,264945,2,26494517,2,604,622,650,603,,
